OBJECTID,FIPSCODE,FIPSNUM,NAME,LABEL,TYPE,SQKM,SQMILES,ACRES,VER,LAYOUT,PENINSULA,ShapeSTArea,ShapeSTLength
1345,72500,72500,Seney,Seney Township,Township,557.8,215.367,137833.942,17A,landscape,upper,1174187131.72656,139677.739199813
1346,31940,31940,Germfask,Germfask Township,Township,185.525,71.631,45843.611,17A,portrait,upper,388079713.816406,83798.7163674734
1347,50780,50780,Manistique,Manistique Township,Township,397.873,153.619,98315.593,17A,portrait,upper,829342439.992188,149549.590253206
1348,22960,22960,Doyle,Doyle Township,Township,398.566,153.887,98486.844,17A,portrait,upper,830766491.515625,149147.739666551
1349,40840,40840,Inwood,Inwood Township,Township,328.094,126.677,81072.954,17A,portrait,upper,682496772.859375,167954.008643989
1350,79580,79580,Thompson,Thompson Township,Township,305.852,118.09,75576.979,17A,portrait,upper,633825743.4375,220189.836149404
1351,56060,56060,Mueller,Mueller Township,Township,226.949,87.625,56079.65,17A,portrait,upper,471459516.496094,112799.279611776
1352,50760,50760,Manistique,City of Manistique,City,8.748,3.377,2161.577,17A,landscape,upper,18111891.515625,20186.3913805003
1353,37440,37440,Hazelton,Hazelton Township,Township,96.605,37.299,23871.403,17A,landscape,lower,181345981.742188,53865.8807793937
1354,57400,57400,New Haven,New Haven Township,Township,92.505,35.716,22858.14,17A,portrait,lower,173644033.054688,52694.884117249
1355,70260,70260,Rush,Rush Township,Township,91.184,35.206,22531.847,17A,landscape,lower,171162320.234375,52382.391093106
1356,27040,27040,Fairfield,Fairfield Township,Township,64.886,25.053,16033.56,17A,portrait,lower,121798906.859375,44803.3517419339
1357,81880,81880,Venice,Venice Township,Township,97.108,37.494,23995.701,17A,portrait,lower,181772724.234375,53953.1963616859
1358,12520,12520,Caledonia,Caledonia Township,Township,81.155,31.334,20053.51,17A,portrait,lower,151915427.207031,92025.6579133305
1359,61960,61960,Owosso,Owosso Township,Township,83.342,32.178,20593.971,17A,portrait,lower,156005281.15625,77979.7321997945
1360,53680,53680,Middlebury,Middlebury Township,Township,64.129,24.76,15846.431,17A,portrait,lower,120042014.464844,45669.9919620762
1361,61940,61940,Owosso,City of Owosso,City,13.898,5.366,3434.268,17A,landscape,lower,26012216.2851562,46259.2997482755
1362,18300,18300,Corunna,City of Corunna,City,8.399,3.243,2075.438,17A,landscape,lower,15713968.65625,26866.3692594777
